Immoweb code,Price_1,Price_2,country,region,province,district,locality,postalCode,street,number,box,propertyName,floor,latitude,longitude,Available as of,Available date,Neighbourhood or locality,Construction year,Floor,Number of floors,Building condition,Number of frontages,Outdoor parking spaces,Surroundings type,Living area,Living room surface,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bathrooms,Toilets,Basement,Furnished,Terrace surface,Elevator,Accessible for disabled people,TV cable,Visio phone,Swimming pool,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,As built plan,Heating type,Thermic solar panels,Double glazing,Planning permission obtained,Subdivision permit,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Price,Cadastral income,Tenement building,Address,Website,External reference,Street frontage width,Covered parking spaces,Basement surface,Monthly charges, 212,null,50.85,4.42,Virtual visit,Dining room,Shower rooms,Intercom,Agent's name,Bedroom 3 surface,Armored door,Property name,Laundry room,Terrace orientation,Caretaker,Common water heater,Living room,Total ground floor buildable,Terrace,Attic,Bedroom 4 surface,Office surface,Office,Secure access / alarm,E-level (overall energy performance),Heat pump,Photovoltaic solar panels,Surface of the plot,Width of the lot on the street,"Gas, water & electricity",Garden surface,Garden orientation,Conformity certification for fuel tanks,Dressing room,Professional space,Connection to sewer network,Jacuzzi,Sauna,Type of building,How many fireplaces?,Garden, 1,50.52,5.24,Air conditioning,Internet,Obligation to build,Number of annexes, 95,4.41,Professional space surface,Attic surface, 202,50.9,3.4, 131,51.35,3.28, 9a,50.84,4.46,Extra information, 8,51.23,4.4, 120,4.47, 72 \\/ 0002,51.22,3.22,Venue of the sale,Single session,Terms of visit,Starting price,Isolated,Bedroom 5 surface, 69,50.46,3.96, 37, 5,50.61,3.39,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitant, 303,50.68,4.19, 15,50.8,5.34, 30,51.21,4.25, 9,50.81,4.43, 273,50.67,5.25,,50.72,4.51, 92,50.73, 2, 390 bus 001,51.04,3.71, 21, 518,50.79,4.49, 40,50.83,4.45, 22,3.12, 3 ,Sea view, 38,50.63,5.56, 24,50.93,4.37, ,50.82,50.74,3.6, 16,49.68,5.81,EPC description, 27,4.58, 11,4.35,Land is facing street,Wooded land,Plot at rear,Flat land,Current monthly revenue, 3,4.95,Maximum duration of annuity, Place Sabatier,50.41,4.38,26,50.7,5.65,4.04,Age of annuitants, 171,49.85,5.45, Chauss\\u00e9e de Lille,50.6,3.37, 10A,50.77,4.34, 21C,50.92,4.64, 277,4.39, 238, 37-39, 33,51.27,3.03, 690,108 b21,50.86,4.31
10144273,"€260,000",260000€,Luxembourg,null,null,null,Leudelange,3364,Rue du Ch\\u00e2teau d'Eau 12,null,null,null,null,null,null,Depending on the tenant,,,1969,5,5,Good,,,,90m²square meters,29m²square meters,Installed,,2,15m²square meters,9m²square meters,1,1,,No,11m²square meters,Yes,No,No,No,No,700kWh/m²kilowatt hour per square meters,G,20190821-0000555033-01-05,141 kg CO₂/m²,Not specified,No,Gas,No,Yes,,No,No,No,,,"€ 260,000260000 €","€ 1,0081008 €",No,Rue du Château d'Eau 123364- Leudelange,http://www.swixim.com,7442682,,,,€ 9090 €,,,,,Link to the virtual visit,,,Yes,Jessica RIGGI,,Yes,,,,No,Yes,,90m²square meters,,,,,No,No,,No,No,,,,,,"Yes, not conform",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10146804,"€180,000",180000€,Belgium,null,East Flanders,Gent,Mariakerke,9030,Alphonse Claeys-Bou\\u00fcaertlaan 57\\/001,null,null,null,null,51.07,3.68,After signing the deed,,,1993,1,,Good,2,,,46m²square meters,,Semi equipped,,1,,,1,1,,No,,,,,,,363kWh/m²kilowatt hour per square meters,D,20220929-0002685361-RES-1,Not specified,Not specified,No,Electric,,Yes,,,,,,,"€ 180,000180000 €",,No,Alphonse Claeys-Bouüaertlaan 57/0019030- Mariakerke,http://www.convas.be,1676 - 1758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10137075,Make,89000€,Belgium,null,Li\\u00e8ge,Huy,Huy,4500,Rue des Brasseurs (Grand' Place),,,,,,,De Valois,,1980,4,4,To be done up,4,Urban,,38m²square meters,Semi equipped,,1,,,,,1,No,,Yes,,Yes,,Yes,436kWh/m²kilowatt hour per square meters,,F,20200814015633,Not specified,16956 kWh/year,No,16956,Yes,,"Living area (residential, urban or rural)",,,,,,"Make an offer starting from€ 89,000Make an offer starting from89000 €",€ 515515 €,No,"Rue des Brasseurs (Grand' Place), 14500- Huy",http://www.trevirasquain.be,16087 - 4927,,,,,,,latitude,,,,,,,,,,Hyper-centre,,,,,,,,,,,,,Gas,,,,,,,,,,,,,,,,,number,longitude,After signing the deed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10137594,"€195,000",195000€,Belgium,null,Brussels,Brussels,Woluwe-St-Lambert,1200,Avenue des Cerisiers,,,,,,,December 1 2022 - 12:00 AM,1967,,1,6,Just renovated,2,Isolated,,40m²square meters,25m²square meters,USA semi equipped,5m²square meters,1,10m²square meters,1,,1,No,,Yes,Yes,No,Yes,,,402kWh/m²kilowatt hour per square meters,G,Not specified,80 kg CO₂/m²,Not specified,Gas,,Yes,,"€ 195,000195000 €",,,,,,,€ 743743 €,No,"Avenue des Cerisiers, 951200- Woluwe-St-Lambert",http://www.immoabita.be,4937046,,,,,,,latitude,longitude,,,,1,Yes,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,number,After signing the deed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10137324,"€222,000",362500€,Belgium,null,Brussels,Brussels,Auderghem,1160,Place Communale 8,null,null,null,null,50.82,4.43,At delivery,June 1 2024 - 12:00 AM,Bruxelles,,,,,,57,,,,,,,,,,,,,,,,,,,25kWh/m²kilowatt hour per square meters,A,B,25 kg CO₂/m²,Not specified,,,,,Yes,Yes,No,No,,,,,No,Place Communale 81160- Auderghem,http://www.weinvest.be,4960198,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10137093,"€253,575",623700€,Belgium,null,Antwerp,Antwerp,Mortsel,2640,Antwerpsestraat 292,null,null,null,null,51.18,4.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,,,,,,,,,,,No,Antwerpsestraat 2922640- Mortsel,http://www.habicom.be,12294 -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10137385,Make,275000€,Belgium,null,Brussels,Brussels,Auderghem,1160,Place Communale 8,null,null,null,null,50.82,4.43,After signing the deed,,Bruxelles,1970,19,26,To be done up,2,,Urban,76m²square meters,33m²square meters,Hyper equipped,1m²square meter,2,8m²square meters,13m²square meters,1,1,Yes,No,21m²square meters,Yes,Yes,Yes,,No,237kWh/m²kilowatt hour per square meters,E,20191128,47 kg CO₂/m²,Not specified,,Gas,,,,No,No,No,,"Living area (residential, urban or rural)","Make an offer starting from€ 275,000Make an offer starting from275000 €","€ 1,0191019 €",No,Place Communale 81160- Auderghem,http://www.weinvest.be,4960356,15.1 m,,,,,,,,Link to the virtual visit,,1,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10137418,"€278,000",313000€,Belgium,null,Antwerp,Turnhout,HERENTALS,2200,Grote Markt 10,null,null,null,null,51.18,4.84,At delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,,,Yes,Yes,No,No,,,,,No,Grote Markt 102200- HERENTALS,http://www.heylenvastgoed.be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10159747,"€342,175",342175€,Belgium,null,East Flanders,Gent,Gentbrugge,9050,Brusselsesteenweg 690,null,null,null,null,51.03,3.77,,,,2022,1,2,As new,,,Countryside,116m²square meters,22m²square meters,Installed,11m²square meters,3,11m²square meters,11m²square meters,2,1,,,25m²square meters,Yes,No,Yes,Yes,No,Not specified,Not specified,Not specified,Not specified,Not specified,,Gas,,Yes,Yes,Yes,No,,Non flood zone,"Living area (residential, urban or rural)","€ 342,175342175 €",,No,Brusselsesteenweg 6909050- Gentbrugge,http://www.landbergh.be/,App. 14IWR,,,,,,,,,,Yes,,Yes,,9m²square meters,,,,,No,,,,,,,,No,No,30,,,,,,,West,,No,,,,,,,Yes,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10156098,Starting,165000€,Belgium,null,West Flanders,Brugge,Brugge,8000,Sint-Pieterskaai,,,,,,,1850,,,1,Just renovated,,Urban,,,50m²square meters,1,,,,1,,,1,295kWh/m²kilowatt hour per square meters,,,,,,,,,C,20220701-0002633355-RES-1,Not specified,Not specified,Electric,,No,Yes,Yes,No,No,Non flood zone,,"€ 165,000165000 €",,,,"Sint-Pieterskaai, 72 / 00028000- Brugge",Victor BLONTROCK,,,,,,,,latitude,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,number,longitude,Link to online sale,No,The doors are open for visits on the following dates: 12/10 (18h-20h); 15/10 (11h-13h); 19/10 (18h-20h); 22/10 (11h-13h); 26/10 (18h-20h); 29/10 (11h-13h); 02/11 (18h-20h); 05/11 (11h-13h); 09/11 (18h-20h).,After signing the deed,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10156099,Starting,175000€,Belgium,null,West Flanders,Brugge,Brugge,8000,Sint-Pieterskaai,,,,,,,1850,,,2,Just renovated,,98m²square meters,,,,1,,,,1,,,1,329kWh/m²kilowatt hour per square meters,,,,,,,,,D,20220701-0002631748-RES-1,Not specified,Not specified,Electric,,No,Yes,Yes,No,No,Non flood zone,,"€ 175,000175000 €",,,,"Sint-Pieterskaai, 72 / 00028000- Brugge",Victor BLONTROCK,,,,,,,,latitude,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,number,longitude,Link to online sale,No,The doors are open for visits on the following dates: 12/10 (18h-20h); 15/10 (11h-13h); 19/10 (18h-20h); 22/10 (11h-13h); 26/10 (18h-20h); 29/10 (11h-13h); 02/11 (18h-20h); 05/11 (11h-13h); 09/11 (18h-20h).,After signing the deed,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10155668,"€895,000",895000€,Belgium,null,Brussels,Brussels,Ixelles,1050,Avenue Louise 404a,null,null,null,null,50.82,4.37,After signing the deed,,,1936,2,8,As new,2,,,228m²square meters,60m²square meters,,,3,34m²square meters,,2,2,,No,,Yes,No,Yes,Yes,No,227kWh/m²kilowatt hour per square meters,E,Not specified,46 kg CO₂/m²,Not specified,No,Gas,No,Yes,,,,,,,"€ 895,000895000 €",,No,Avenue Louise 404a1050- Ixelles,http://www.barnes-brussels.com,7461636,,,,€ 610610 €,,,,,,,,No,,,No,,,,No,Yes,,,,,,,No,Yes,,No,No,,,,,,"Yes, not conform",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10160264,Make,170000€,Belgium,null,Hainaut,Charleroi,Pont-\\u00e0-Celles,6230,Place Communale 18,null,null,null,null,50.51,4.36,After signing the deed,,,,5,12,To be done up,4,,Countryside,60m²square meters,24m²square meters,Semi equipped,5m²square meters,1,14m²square meters,,1,1,Yes,No,7m²square meters,Yes,Yes,,,No,109kWh/m²kilowatt hour per square meters,C,20210119-0000581262-01-3,28 kg CO₂/m²,Not specified,,Gas,,,,,,,Non flood zone,,"Make an offer starting from€ 170,000Make an offer starting from170000 €",€ 986986 €,No,Place Communale 186230- Pont-à-Celles,http://www.delfimmo.be,4970558,,,,,,,,,,,1,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10160107,"€180,000",180000€,Belgium,null,Li\\u00e8ge,Li\\u00e8ge,Trooz,4870,Grand rue 191,null,null,null,null,50.58,5.68,After signing the deed,October 30 2022 - 12:00 AM,Liège,1960,,8,To be done up,2,,Urban,87m²square meters,2670m²square meters,Semi equipped,753m²square meters,3,812m²square meters,1135m²square meters,1,1,Yes,No,2m²square meters,Yes,No,,,No,196kWh/m²kilowatt hour per square meters,C,20220712023473,37 kg CO₂/m²,19213 kWh/year,,Gas,,Yes,,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 180,000180000 €","€ 1,1601160 €",No,Grand rue 1914870- Trooz,http://www.groupecadimmo.be,4963592,,1,,,,,,,,,1,Yes,,1379m²square meters,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10160542,"€199,000",199000€,Belgium,null,Brussels,Brussels,Uccle,1180,Chauss\\u00e9e d'Alsemberg 528,null,null,null,null,50.83,4.35,After signing the deed,February 2 2023 - 12:00 AM,,1938,1,2,Good,2,,"Living area (residential, urban or rural)",63m²square meters,15m²square meters,USA installed,8m²square meters,2,13m²square meters,12m²square meters,1,1,,No,,,,,,,244kWh/m²kilowatt hour per square meters,E,Not specified,48 kg CO₂/m²,Not specified,,,,Yes,,,No,,Non flood zone,"Living area (residential, urban or rural)","€ 199,000199000 €",,No,Chaussée d'Alsemberg 5281180- Uccle,,4968616,,,,,,,,,,,1,,,,,,,,,,,63m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10160774,"€239,000",239000€,Belgium,null,East Flanders,Oudenaarde,Ronse,9600,Grote Markt 35,null,null,null,null,50.75,3.6,After signing the deed,,,1977,,3,Good,2,,,120m²square meters,38m²square meters,Installed,9m²square meters,3,16m²square meters,14m²square meters,1,1,,No,12m²square meters,,,,,,321kWh/m²kilowatt hour per square meters,D,20220802-0002649487-RES-1,Not specified,Not specified,No,Gas,,Yes,,,,,Non flood zone,"Living area (residential, urban or rural)","€ 239,000239000 €","€ 1,3281328 €",No,Grote Markt 359600- Ronse,http://www.immobeguin.be/,20788 - VK4165,,1,14m²square meters,,,,,,,,,,,,,De Meiboom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10160219,"€325,000",325000€,Belgium,null,Brussels,Brussels,Anderlecht,1070,Rue Potaerdenberg 31,null,null,null,null,50.84,4.3,After signing the deed,February 6 2023 - 12:00 AM,Bruxelles,1936,4,4,As new,2,,Urban,90m²square meters,,USA hyper equipped,,2,12m²square meters,14m²square meters,1,1,,,,,,,,,563kWh/m²kilowatt hour per square meters,G,Not specified,113 kg CO₂/m²,Not specified,,,,,,,,,,,"€ 325,000325000 €",,No,Rue Potaerdenberg 311070- Anderlecht,http://www.trianon-invest.be,4968979,,,,,,,,,,,1,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10159966,"€345,000",345000€,Belgium,null,Flemish Brabant,Halle-Vilvoorde,Sterrebeek,1933,Tramlaan 249,null,null,null,null,50.86,4.5,,,,2012,2,4,As new,,1,,109m²square meters,40m²square meters,,7m²square meters,2,14m²square meters,10m²square meters,1,1,,,10m²square meters,Yes,No,No,Yes,No,128kWh/m²kilowatt hour per square meters,C,20140528-0000230862-01-1,Not specified,Not specified,,Gas,,Yes,,,,,,,"€ 345,000345000 €","€ 1,5731573 €",No,Tramlaan 2491933- Sterrebeek,http://www.kasperkent.be,825 - Paul De Merten,,,4m²square meters,,,,,,,,,Yes,,,,,,,No,,,,,,,,No,No,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10146518,"€345,000",345000€,null,null,null,null,null,null,null,null,null,null,null,null,null,To be defined,,,,3,4,As new,,1,Landscape,100m²square meters,16m²square meters,Semi equipped,,2,17m²square meters,12m²square meters,1,1,,,9m²square meters,Yes,Yes,No,No,No,331kWh/m²kilowatt hour per square meters,F,20220621 0000615370-01-7,66 kg CO₂/m²,Not specified,,Gas,No,Yes,Yes,Yes,No,No,Non flood zone,,"€ 345,000345000 €","€ 1,5341534 €",No,,,,,1,,€ 295295 €,,,,,,Yes,,Yes,,,No,,Yes,South West,No,Yes,,,,,,,No,No,,No,No,,,,3700m²square meters,South West,,Yes,No,,No,No,Apartment building,,,,,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10160430,"€349,000",349000€,Belgium,null,Flemish Brabant,Halle-Vilvoorde,Strombeek-Bever,1853,Verbeytstraat 1 B1,null,null,null,null,50.91,4.35,,April 1 2023 - 12:00 AM,,1978,2,,As new,2,1,,95m²square meters,30m²square meters,Hyper equipped,8m²square meters,2,15m²square meters,10m²square meters,1,1,,,10m²square meters,Yes,,,,,155kWh/m²kilowatt hour per square meters,B,2690428,Not specified,Not specified,,Gas,,Yes,Yes,Yes,No,No,,"Living area (residential, urban or rural)","€ 349,000349000 €","€ 1,2241224 €",No,Verbeytstraat 1 B11853- Strombeek-Bever,http://www.cbi-immo.be,4970477,,1,3m²square meters,€ 200200 €,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10161011,"€550,000",550000€,Belgium,null,Brussels,Brussels,Woluwe-Saint-Lambert,1200,Avenue de la Charmille 22,null,null,null,null,50.85,4.43,After signing the deed,,ChÃtelain - Ma Campagne,1932,,,Good,2,,Urban,121m²square meters,41m²square meters,USA hyper equipped,11m²square meters,2,16m²square meters,10m²square meters,1,1,,No,17m²square meters,No,No,Yes,,,171kWh/m²kilowatt hour per square meters,D,20131028-0000194081-01-8,36 kg CO₂/m²,Not specified,,Gas,,Yes,,,,,Non flood zone,,"€ 550,000550000 €","€ 1,8151815 €",No,Avenue de la Charmille 221200- Woluwe-Saint-Lambert,,4934626,,,,,,,,,Link to the virtual visit,,,Yes,,,,,,,,,,,,,,,,,,,,,,,88m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10160339,"€855,000",855000€,Belgium,null,Brussels,Brussels,Uccle,1180,Rue Xavier De Bue 1,null,null,null,null,50.8,4.33,After signing the deed,,Brussel,,1,2,As new,2,,,150m²square meters,21m²square meters,Hyper equipped,11m²square meters,2,17m²square meters,21m²square meters,2,3,Yes,No,16m²square meters,No,No,,,No,282kWh/m²kilowatt hour per square meters,F,20180723-0000532357-01-6,Not specified,Not specified,,Gas,,Yes,,,,,,,"€ 855,000855000 €","€ 1,4621462 €",No,Rue Xavier De Bue 11180- Uccle,http://www.immo-street.be,4945490,,,,,,,,,,,1,Yes,,,,,,,,,,,,,,,,,,,,,,,90m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10146026,"€180,000",180000€,Belgium,null,Brussels,Brussels,Uccle,1180,av. de la Floride 77,null,null,null,null,50.81,4.37,Depending on the tenant,May 22 2023 - 12:00 AM,Est Bruxelles,1975,3,3,To be done up,3,,"Living area (residential, urban or rural)",63m²square meters,,Installed,,1,16m²square meters,,1,1,,No,,,,,,,245kWh/m²kilowatt hour per square meters,E,Not specified,49 kg CO₂/m²,Not specified,"Yes, conform",Gas,,,Yes,,Yes,No,,,"€ 180,000180000 €",,No,av. de la Floride 771180- Uccle,http://www.trianon-invest.be,4964283,6 m,,,€ 2020 €,,,,,,,1,,,,,,,,,,,63m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10162732,"€295,000",295000€,Belgium,null,West Flanders,Brugge,Zeebrugge,8380,Vismynstraat 13,null,null,null,null,51.33,3.2,,,,,2,,Good,,,,62m²square meters,,,,2,,,1,1,Yes,No,,Yes,,,,,204kWh/m²kilowatt hour per square meters,C,Not specified,Not specified,Not specified,No,Electric,,Yes,Yes,No,No,No,Non flood zone,,"€ 295,000295000 €",€ 910910 €,No,Vismynstraat 138380- Zeebrugge,,,,1,,,,,,,,,,,,,,,,,No,,,,,,,,,No,204,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10162728,"€210,000",210000€,Belgium,null,Antwerp,Antwerp,Edegem,2650,Strijdersstraat 8,null,null,null,null,51.16,4.44,After signing the deed,,,1972,9,17,Good,2,,,91m²square meters,33m²square meters,Semi equipped,9m²square meters,2,14m²square meters,14m²square meters,1,1,,No,17m²square meters,Yes,,,,,153kWh/m²kilowatt hour per square meters,B,20220728-0002646943-RES-1,Not specified,Not specified,No,Gas,,Yes,,Yes,No,,Non flood zone,,"€ 210,000210000 €",€ 840840 €,No,Strijdersstraat 82650- Edegem,http://www.immovivo.be,2239 - 22-20079,,,,€ 232232 €,,,,,,,,,,,Yes,Memling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10162727,"€335,000",335000€,Belgium,null,Antwerp,Antwerp,Edegem,2650,Strijdersstraat 8,null,null,null,null,51.16,4.44,After signing the deed,,,,,,,2,,,160m²square meters,55m²square meters,Installed,30m²square meters,3,19m²square meters,19m²square meters,1,1,Yes,No,22m²square meters,,,,,,358kWh/m²kilowatt hour per square meters,D,20220824-0002661073-RES-1,Not specified,Not specified,No,Gas,,Yes,,,,,,,"€ 335,000335000 €",,No,Strijdersstraat 82650- Edegem,http://www.immovivo.be,2240 - 22-20080,5 m,,,,,,,,,,,,,12m²square meters,,,,,,,,,,,,,,,,,,101m²square meters,5 mmeters,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
